bracket_low,bracket_high,rate,standard_deduction
0,9875,0.1,12550
9876,40125,0.12,12550
40126,85525,0.22,12550
85526,163300,0.24,12550
163301,207350,0.32,12550
207351,311025,0.35,12550
311026,9999999,0.37,12550
