bracket_low,bracket_high,rate,standard_deduction
0,19750,0.1,25100
19751,80250,0.12,25100
80251,171050,0.22,25100
171051,326600,0.24,25100
326601,414700,0.32,25100
414701,622050,0.35,25100
622051,9999999,0.37,25100
